name,parent,value
Breakfast,McDonald's,0
Beef & Pork,McDonald's,0
Chicken & Fish,McDonald's,0
Salads,McDonald's,0
Snacks & Sides,McDonald's,0
Desserts,McDonald's,0
Beverages,McDonald's,0
Coffee & Tea,McDonald's,0
Smoothies & Shakes,McDonald's,0
Egg McMuffin,Breakfast,4.8
Egg White Delight,Breakfast,4.8
Sausage McMuffin,Breakfast,3.9
Sausage McMuffin with Egg,Breakfast,5.7
Sausage McMuffin with Egg Whites,Breakfast,5.7
Steak & Egg McMuffin,Breakfast,6.5
"Bacon, Egg & Cheese Biscuit ",Breakfast,0
"Bacon, Egg & Cheese Biscuit with Egg Whites ",Breakfast,0
Sausage Biscuit ,Breakfast,0
Sausage Biscuit with Egg ,Breakfast,0
Sausage Biscuit with Egg Whites ,Breakfast,0
Southern Style Chicken Biscuit ,Breakfast,0
Steak & Egg Biscuit ,Breakfast,0
"Bacon, Egg & Cheese McGriddles",Breakfast,6.1
"Bacon, Egg & Cheese McGriddles with Egg Whites",Breakfast,6.3
Sausage McGriddles,Breakfast,5
"Sausage, Egg & Cheese McGriddles",Breakfast,7.1
"Sausage, Egg & Cheese McGriddles with Egg Whites",Breakfast,7.2
"Bacon, Egg & Cheese Bagel",Breakfast,6.9
"Bacon, Egg & Cheese Bagel with Egg Whites",Breakfast,7.1
"Steak, Egg & Cheese Bagel",Breakfast,8.5
Big Breakfast ,Breakfast,0
Big Breakfast with Egg Whites ,Breakfast,0
Big Breakfast with Hotcakes ,Breakfast,0
Big Breakfast with Hotcakes and Egg Whites ,Breakfast,0
Hotcakes,Breakfast,5.3
Hotcakes and Sausage,Breakfast,6.8
Sausage Burrito,Breakfast,3.9
Hash Brown,Breakfast,2
Cinnamon Melts,Breakfast,4
Fruit & Maple Oatmeal,Breakfast,9.6
Fruit & Maple Oatmeal without Brown Sugar,Breakfast,9.6
Big Mac,Beef & Pork,7.4
Quarter Pounder with Cheese,Beef & Pork,7.1
Quarter Pounder with Bacon & Cheese,Beef & Pork,8
Quarter Pounder with Bacon Habanero Ranch,Beef & Pork,8.3
Quarter Pounder Deluxe,Beef & Pork,8.6
Double Quarter Pounder with Cheese,Beef & Pork,10
Hamburger,Beef & Pork,3.5
Cheeseburger,Beef & Pork,4
Double Cheeseburger,Beef & Pork,5.7
Bacon Clubhouse Burger,Beef & Pork,9.5
McDouble,Beef & Pork,5.2
Bacon McDouble,Beef & Pork,5.7
Daily Double,Beef & Pork,6.7
Jalapeño Double,Beef & Pork,5.6
McRib,Beef & Pork,7.3
Premium Crispy Chicken Classic Sandwich,Chicken & Fish,7.5
Premium Grilled Chicken Classic Sandwich,Chicken & Fish,7
Premium Crispy Chicken Club Sandwich,Chicken & Fish,8.8
Premium Grilled Chicken Club Sandwich,Chicken & Fish,8.3
Premium Crispy Chicken Ranch BLT Sandwich,Chicken & Fish,8.1
Premium Grilled Chicken Ranch BLT Sandwich,Chicken & Fish,7.6
Bacon Clubhouse Crispy Chicken Sandwich,Chicken & Fish,10
Bacon Clubhouse Grilled Chicken Sandwich,Chicken & Fish,9.5
Southern Style Crispy Chicken Sandwich,Chicken & Fish,5.6
McChicken,Chicken & Fish,5.1
Bacon Cheddar McChicken,Chicken & Fish,6
Bacon Buffalo Ranch McChicken,Chicken & Fish,5.7
Buffalo Ranch McChicken,Chicken & Fish,5.2
Premium McWrap Chicken & Bacon ,Chicken & Fish,0
Premium McWrap Chicken & Ranch ,Chicken & Fish,0
Premium McWrap Southwest Chicken ,Chicken & Fish,0
Premium McWrap Chicken Sweet Chili ,Chicken & Fish,0
Chicken McNuggets ,Chicken & Fish,0
Filet O Fish,Chicken & Fish,5
Premium Bacon Ranch Salad ,Salads,0
Premium Bacon Ranch Salad with Crispy Chicken,Salads,9
Premium Bacon Ranch Salad with Grilled Chicken,Salads,8.5
Premium Southwest Salad ,Salads,0
Premium Southwest Salad with Crispy Chicken,Salads,12.3
Premium Southwest Salad with Grilled Chicken,Salads,11.8
Chipotle BBQ Snack Wrap ,Snacks & Sides,0
Honey Mustard Snack Wrap ,Snacks & Sides,0
Ranch Snack Wrap ,Snacks & Sides,0
Small French Fries,Snacks & Sides,2.6
Medium French Fries,Snacks & Sides,3.9
Large French Fries,Snacks & Sides,5.9
Kids French Fries,Snacks & Sides,1.3
Side Salad,Snacks & Sides,3.1
Apple Slices,Snacks & Sides,1.2
Fruit 'n Yogurt Parfait,Snacks & Sides,5.2
Baked Apple Pie,Desserts,2.7
Chocolate Chip Cookie,Desserts,1
Oatmeal Raisin Cookie,Desserts,1
Kids Ice Cream Cone,Desserts,1
Hot Fudge Sundae,Desserts,6.3
Hot Caramel Sundae,Desserts,6.4
Strawberry Sundae,Desserts,6.3
Coca-Cola Classic ,Beverages,0
